FirstName,LastName,BillingCountry,BillingCity,billingState,Sale_FirstName,Sale_LastName,salesMade,ArtistName,AlbumName,GenreName,trackSales,invoiceSales,monthBucket
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833,Lost,"Lost, Season 2",TV Shows,11.94,131.16,April
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Lost,"Lost, Season 1",TV Shows,7.96,103.44,November
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Lost,"Lost, Season 3",Drama,7.96,95.44,August
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,7.96,47.76,September
Frank,Ralston,USA,Chicago,IL,Jane,Peacock,833,The Office,"The Office, Season 3",Comedy,7.96,31.84,September
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,7.96,31.84,June
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,The Office,"The Office, Season 2",TV Shows,5.97,65.58,Febuary
Astrid,Gruber,Austria,Vienne,State is Unknown,Steve,Johnson,720,Lost,"Lost, Season 1",TV Shows,5.97,56.58,January
Luis,Rojas,Chile,Santiago,State is Unknown,Steve,Johnson,720,Heroes,"Heroes, Season 1",Drama,5.97,53.73,January
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,5.97,26.82,June
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833,Chico Science & Nação Zumbi,Afrociberdelia,Latin,5.94,35.64,Febuary
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833,Kiss,Greatest Kiss,Rock,4.95,29.7,September
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Chico Buarque,Minha Historia,Latin,4.95,29.7,May
Enrique,Muñoz,Spain,Madrid,State is Unknown,Steve,Johnson,720,The Who,My Generation - The Very Best Of The Who,Rock,4.95,29.7,November
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Caetano Veloso,Prenda Minha,Latin,4.95,29.7,August
Martha,Silk,Canada,Halifax,NS,Steve,Johnson,720,Titãs,Acústico,Alternative & Punk,4.95,29.7,April
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Heroes,"Heroes, Season 1",Drama,3.98,51.72,November
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Lost,"Lost, Season 3",Drama,3.98,51.72,November
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Heroes,"Heroes, Season 1",Drama,3.98,47.72,August
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Lost,"Lost, Season 2",TV Shows,3.98,47.72,August
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720,The Office,"The Office, Season 2",TV Shows,3.98,37.72,May
Luis,Rojas,Chile,Santiago,State is Unknown,Steve,Johnson,720,Battlestar Galactica,"Battlestar Galactica, Season 3",Science Fiction,3.98,35.82,January
Isabelle,Mercier,France,Dijon,State is Unknown,Jane,Peacock,833,Lost,"LOST, Season 4",Drama,3.98,33.72,October
Bjørn,Hansen,Norway,Oslo,State is Unknown,Margaret,Park,775,Lost,"LOST, Season 4",Drama,3.98,31.72,June
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833,Battlestar Galactica,"Battlestar Galactica, Season 3",Science Fiction,3.98,29.82,April
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833,Heroes,"Heroes, Season 1",TV Shows,3.98,29.82,April
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720,The Office,"The Office, Season 3",Comedy,3.98,23.88,September
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,3.98,7.96,March
Wyatt,Girard,France,Bordeaux,State is Unknown,Jane,Peacock,833,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,3.98,7.96,June
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775,The Office,"The Office, Season 3",TV Shows,3.98,7.96,September
Heather,Leacock,USA,Orlando,FL,Margaret,Park,775,The Office,"The Office, Season 3",TV Shows,3.98,7.96,September
João,Fernandes,Portugal,Lisbon,State is Unknown,Margaret,Park,775,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,3.96,43.64,October
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833,Kiss,Greatest Kiss,Rock,3.96,35.64,January
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833,Chico Science & Nação Zumbi,Afrociberdelia,Latin,3.96,35.64,August
Diego,Gutiérrez,Argentina,Buenos Aires,State is Unknown,Margaret,Park,775,Titãs,Acústico,Alternative & Punk,3.96,35.64,November
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775,Creedence Clearwater Revival,"Chronicle, Vol. 1",Rock,3.96,35.64,Febuary
Joakim,Johansson,Sweden,Stockholm,State is Unknown,Steve,Johnson,720,Titãs,Volume Dois,Alternative & Punk,3.96,27.76,January
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833,Guns N' Roses,Use Your Illusion I,Rock,3.96,23.76,September
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833,Soundgarden,A-Sides,Rock,3.96,23.76,October
Isabelle,Mercier,France,Dijon,State is Unknown,Jane,Peacock,833,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,3.96,23.76,July
Puja,Srivastava,India,Bangalore,State is Unknown,Jane,Peacock,833,James Brown,Sex Machine,R&B/Soul,3.96,23.76,July
François,Tremblay,Canada,Montréal,QC,Jane,Peacock,833,Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,Bossa Nova,3.96,23.76,January
Frank,Ralston,USA,Chicago,IL,Jane,Peacock,833,Queen,Greatest Hits II,Rock,3.96,23.76,December
João,Fernandes,Portugal,Lisbon,State is Unknown,Margaret,Park,775,Raul Seixas,Raul Seixas,Rock,3.96,23.76,November
Daan,Peeters,Belgium,Brussels,State is Unknown,Margaret,Park,775,Aerosmith,Big Ones,Rock,3.96,23.76,January
Stanisław,Wójcik,Poland,Warsaw,State is Unknown,Margaret,Park,775,U2,Rattle And Hum,Rock,3.96,23.76,August
Bjørn,Hansen,Norway,Oslo,State is Unknown,Margaret,Park,775,Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],Latin,3.96,23.76,April
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775,Eric Clapton,Unplugged,Latin,3.96,23.76,April
Mark,Philips,Canada,Edmonton,AB,Steve,Johnson,720,R.E.M.,The Best Of R.E.M.: The IRS Years,Alternative & Punk,3.96,23.76,Febuary
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833,Queen,Greatest Hits I,Rock,3.96,15.84,September
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833,R.E.M.,The Best Of R.E.M.: The IRS Years,Alternative & Punk,3.96,15.84,November
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833,The Tea Party,Transmission,Alternative & Punk,3.96,15.84,November
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833,Djavan,Djavan Ao Vivo - Vol. 1,Latin,3.96,15.84,March
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833,Kiss,Greatest Kiss,Rock,3.96,15.84,June
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833,Men At Work,The Best Of Men At Work,Rock,3.96,15.84,July
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833,Iron Maiden,Rock In Rio [CD1],Metal,3.96,15.84,January
Manoj,Pareek,India,Delhi,State is Unknown,Jane,Peacock,833,Gene Krupa,Up An' Atom,Jazz,3.96,15.84,January
Wyatt,Girard,France,Bordeaux,State is Unknown,Jane,Peacock,833,Chico Buarque,Minha Historia,Latin,3.96,15.84,Febuary
Emma,Jones,United Kingdom,London,State is Unknown,Jane,Peacock,833,Metallica,Load,Metal,3.96,15.84,December
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,U2,Pop,Rock,3.96,15.84,August
Michelle,Brooks,USA,New York,NY,Jane,Peacock,833,Eric Clapton,Unplugged,Blues,3.96,15.84,August
Puja,Srivastava,India,Bangalore,State is Unknown,Jane,Peacock,833,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,3.96,15.84,April
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775,Queen,Greatest Hits II,Rock,3.96,15.84,September
Fernanda,Ramos,Brazil,Brasília,DF,Margaret,Park,775,Metallica,ReLoad,Metal,3.96,15.84,September
Daan,Peeters,Belgium,Brussels,State is Unknown,Margaret,Park,775,Smashing Pumpkins,Rotten Apples: Greatest Hits,Alternative & Punk,3.96,15.84,October
Heather,Leacock,USA,Orlando,FL,Margaret,Park,775,Caetano Veloso,Prenda Minha,Latin,3.96,15.84,May
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775,Metallica,Garage Inc. (Disc 2),Metal,3.96,15.84,March
František,Wichterlová,Czech Republic,Prague,State is Unknown,Margaret,Park,775,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,3.96,15.84,March
Camille,Bernard,France,Paris,State is Unknown,Margaret,Park,775,Creedence Clearwater Revival,"Chronicle, Vol. 1",Rock,3.96,15.84,July
Mark,Taylor,Australia,Sidney,NSW,Margaret,Park,775,Iron Maiden,The X Factor,Rock,3.96,15.84,July
Bjørn,Hansen,Norway,Oslo,State is Unknown,Margaret,Park,775,AC/DC,For Those About To Rock We Salute You,Rock,3.96,15.84,January
Eduardo,Martins,Brazil,São Paulo,SP,Margaret,Park,775,R.E.M.,New Adventures In Hi-Fi,Rock,3.96,15.84,Febuary
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,3.96,15.84,December
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775,System Of A Down,Mezmerize,Metal,3.96,15.84,December
Patrick,Gray,USA,Tucson,AZ,Margaret,Park,775,Tim Maia,Serie Sem Limite (Disc 2),Latin,3.96,15.84,April
Marc,Dubois,France,Lyon,State is Unknown,Steve,Johnson,720,Body Count,Body Count,Alternative & Punk,3.96,15.84,November
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720,Stevie Ray Vaughan & Double Trouble,In Step,Blues,3.96,15.84,March
Kathy,Chase,USA,Reno,NV,Steve,Johnson,720,Green Day,International Superhits,Alternative & Punk,3.96,15.84,March
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720,Guns N' Roses,Use Your Illusion I,Rock,3.96,15.84,June
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720,Soundgarden,A-Sides,Rock,3.96,15.84,June
