FirstName,LastName,BillingCountry,BillingCity,billingState,Sale_FirstName,Sale_LastName,salesMade,ArtistName,AlbumName,GenreName,trackSales,invoiceSales
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833.0400000000016,Lost,"Lost, Season 2",TV Shows,11.94,21.86
Frank,Ralston,USA,Chicago,IL,Jane,Peacock,833.0400000000016,The Office,"The Office, Season 3",Comedy,9.95,23.82
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720.1600000000011,Lost,"Lost, Season 1",TV Shows,7.96,25.86
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775.4000000000005,Lost,"Lost, Season 3",Drama,7.96,23.86
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720.1600000000011,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,7.96,11.94
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833.0400000000016,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,7.96,7.96
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833.0400000000016,The Office,"The Office, Season 2",TV Shows,5.97,21.86
Astrid,Gruber,Austria,Vienne,State is Unknown,Steve,Johnson,720.1600000000011,Lost,"Lost, Season 1",TV Shows,5.97,18.86
Luis,Rojas,Chile,Santiago,State is Unknown,Steve,Johnson,720.1600000000011,Heroes,"Heroes, Season 1",Drama,5.97,17.91
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720.1600000000011,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,5.97,8.94
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833.0400000000016,Chico Science & Nação Zumbi,Afrociberdelia,Latin,5.94,5.94
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833.0400000000016,Kiss,Greatest Kiss,Rock,4.95,5.94
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775.4000000000005,Chico Buarque,Minha Historia,Latin,4.95,5.94
Enrique,Muñoz,Spain,Madrid,State is Unknown,Steve,Johnson,720.1600000000011,The Who,My Generation - The Very Best Of The Who,Rock,4.95,5.94
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720.1600000000011,Caetano Veloso,Prenda Minha,Latin,4.95,5.94
Martha,Silk,Canada,Halifax,NS,Steve,Johnson,720.1600000000011,Titãs,Acústico,Alternative & Punk,4.95,5.94
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720.1600000000011,Heroes,"Heroes, Season 1",Drama,3.98,25.86
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720.1600000000011,Lost,"Lost, Season 3",Drama,3.98,25.86
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775.4000000000005,Heroes,"Heroes, Season 1",Drama,3.98,23.86
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775.4000000000005,Lost,"Lost, Season 2",TV Shows,3.98,23.86
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720.1600000000011,The Office,"The Office, Season 2",TV Shows,3.98,18.86
Luis,Rojas,Chile,Santiago,State is Unknown,Steve,Johnson,720.1600000000011,Battlestar Galactica,"Battlestar Galactica, Season 3",Science Fiction,3.98,17.91
Isabelle,Mercier,France,Dijon,State is Unknown,Jane,Peacock,833.0400000000016,Lost,"LOST, Season 4",Drama,3.98,16.86
Bjørn,Hansen,Norway,Oslo,State is Unknown,Margaret,Park,775.4000000000005,Lost,"LOST, Season 4",Drama,3.98,15.86
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833.0400000000016,Battlestar Galactica,"Battlestar Galactica, Season 3",Science Fiction,3.98,14.91
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833.0400000000016,Heroes,"Heroes, Season 1",TV Shows,3.98,14.91
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720.1600000000011,The Office,"The Office, Season 3",Comedy,3.98,11.94
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833.0400000000016,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,3.98,3.98
Wyatt,Girard,France,Bordeaux,State is Unknown,Jane,Peacock,833.0400000000016,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,3.98,3.98
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775.4000000000005,The Office,"The Office, Season 3",TV Shows,3.98,3.98
Heather,Leacock,USA,Orlando,FL,Margaret,Park,775.4000000000005,The Office,"The Office, Season 3",TV Shows,3.98,3.98
João,Fernandes,Portugal,Lisbon,State is Unknown,Margaret,Park,775.4000000000005,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,3.96,10.91
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833.0400000000016,Kiss,Greatest Kiss,Rock,3.96,8.91
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833.0400000000016,Chico Science & Nação Zumbi,Afrociberdelia,Latin,3.96,8.91
Diego,Gutiérrez,Argentina,Buenos Aires,State is Unknown,Margaret,Park,775.4000000000005,Titãs,Acústico,Alternative & Punk,3.96,8.91
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775.4000000000005,Creedence Clearwater Revival,"Chronicle, Vol. 1",Rock,3.96,8.91
Joakim,Johansson,Sweden,Stockholm,State is Unknown,Steve,Johnson,720.1600000000011,Titãs,Volume Dois,Alternative & Punk,3.96,6.94
Frank,Ralston,USA,Chicago,IL,Jane,Peacock,833.0400000000016,Queen,Greatest Hits II,Rock,3.96,5.94
François,Tremblay,Canada,Montréal,QC,Jane,Peacock,833.0400000000016,Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,Bossa Nova,3.96,5.94
Isabelle,Mercier,France,Dijon,State is Unknown,Jane,Peacock,833.0400000000016,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,3.96,5.94
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833.0400000000016,Guns N' Roses,Use Your Illusion I,Rock,3.96,5.94
Puja,Srivastava,India,Bangalore,State is Unknown,Jane,Peacock,833.0400000000016,James Brown,Sex Machine,R&B/Soul,3.96,5.94
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833.0400000000016,Soundgarden,A-Sides,Rock,3.96,5.94
Bjørn,Hansen,Norway,Oslo,State is Unknown,Margaret,Park,775.4000000000005,Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],Latin,3.96,5.94
Daan,Peeters,Belgium,Brussels,State is Unknown,Margaret,Park,775.4000000000005,Aerosmith,Big Ones,Rock,3.96,5.94
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Eric Clapton,Unplugged,Latin,3.96,5.94
João,Fernandes,Portugal,Lisbon,State is Unknown,Margaret,Park,775.4000000000005,Raul Seixas,Raul Seixas,Rock,3.96,5.94
Stanisław,Wójcik,Poland,Warsaw,State is Unknown,Margaret,Park,775.4000000000005,U2,Rattle And Hum,Rock,3.96,5.94
Mark,Philips,Canada,Edmonton,AB,Steve,Johnson,720.1600000000011,R.E.M.,The Best Of R.E.M.: The IRS Years,Alternative & Punk,3.96,5.94
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833.0400000000016,R.E.M.,The Best Of R.E.M.: The IRS Years,Alternative & Punk,3.96,3.96
Emma,Jones,United Kingdom,London,State is Unknown,Jane,Peacock,833.0400000000016,Metallica,Load,Metal,3.96,3.96
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833.0400000000016,Djavan,Djavan Ao Vivo - Vol. 1,Latin,3.96,3.96
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833.0400000000016,The Tea Party,Transmission,Alternative & Punk,3.96,3.96
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833.0400000000016,Iron Maiden,Rock In Rio [CD1],Metal,3.96,3.96
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833.0400000000016,U2,Pop,Rock,3.96,3.96
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833.0400000000016,Kiss,Greatest Kiss,Rock,3.96,3.96
Manoj,Pareek,India,Delhi,State is Unknown,Jane,Peacock,833.0400000000016,Gene Krupa,Up An' Atom,Jazz,3.96,3.96
Michelle,Brooks,USA,New York,NY,Jane,Peacock,833.0400000000016,Eric Clapton,Unplugged,Blues,3.96,3.96
Puja,Srivastava,India,Bangalore,State is Unknown,Jane,Peacock,833.0400000000016,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,3.96,3.96
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833.0400000000016,Queen,Greatest Hits I,Rock,3.96,3.96
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833.0400000000016,Men At Work,The Best Of Men At Work,Rock,3.96,3.96
Wyatt,Girard,France,Bordeaux,State is Unknown,Jane,Peacock,833.0400000000016,Chico Buarque,Minha Historia,Latin,3.96,3.96
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775.4000000000005,Metallica,Garage Inc. (Disc 2),Metal,3.96,3.96
Bjørn,Hansen,Norway,Oslo,State is Unknown,Margaret,Park,775.4000000000005,AC/DC,For Those About To Rock We Salute You,Rock,3.96,3.96
Camille,Bernard,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Creedence Clearwater Revival,"Chronicle, Vol. 1",Rock,3.96,3.96
Daan,Peeters,Belgium,Brussels,State is Unknown,Margaret,Park,775.4000000000005,Smashing Pumpkins,Rotten Apples: Greatest Hits,Alternative & Punk,3.96,3.96
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,3.96,3.96
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Queen,Greatest Hits II,Rock,3.96,3.96
Eduardo,Martins,Brazil,São Paulo,SP,Margaret,Park,775.4000000000005,R.E.M.,New Adventures In Hi-Fi,Rock,3.96,3.96
Fernanda,Ramos,Brazil,Brasília,DF,Margaret,Park,775.4000000000005,Metallica,ReLoad,Metal,3.96,3.96
František,Wichterlová,Czech Republic,Prague,State is Unknown,Margaret,Park,775.4000000000005,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,3.96,3.96
Heather,Leacock,USA,Orlando,FL,Margaret,Park,775.4000000000005,Caetano Veloso,Prenda Minha,Latin,3.96,3.96
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775.4000000000005,System Of A Down,Mezmerize,Metal,3.96,3.96
Mark,Taylor,Australia,Sidney,NSW,Margaret,Park,775.4000000000005,Iron Maiden,The X Factor,Rock,3.96,3.96
Patrick,Gray,USA,Tucson,AZ,Margaret,Park,775.4000000000005,Tim Maia,Serie Sem Limite (Disc 2),Latin,3.96,3.96
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720.1600000000011,Os Paralamas Do Sucesso,Acústico MTV,Latin,3.96,3.96
Astrid,Gruber,Austria,Vienne,State is Unknown,Steve,Johnson,720.1600000000011,The Who,My Generation - The Very Best Of The Who,Rock,3.96,3.96
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720.1600000000011,Guns N' Roses,Use Your Illusion I,Rock,3.96,3.96
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720.1600000000011,Stevie Ray Vaughan & Double Trouble,In Step,Blues,3.96,3.96
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720.1600000000011,Soundgarden,A-Sides,Rock,3.96,3.96
Kathy,Chase,USA,Reno,NV,Steve,Johnson,720.1600000000011,Green Day,International Superhits,Alternative & Punk,3.96,3.96
Lucas,Mancini,Italy,Rome,RM,Steve,Johnson,720.1600000000011,Titãs,Acústico,Alternative & Punk,3.96,3.96
Marc,Dubois,France,Lyon,State is Unknown,Steve,Johnson,720.1600000000011,Body Count,Body Count,Alternative & Punk,3.96,3.96
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720.1600000000011,U2,B-Sides 1980-1990,Rock,3.96,3.96
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720.1600000000011,Zeca Pagodinho,Ao Vivo [IMPORT],Latin,2.9699999999999998,18.86
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833.0400000000016,Titãs,Volume Dois,Alternative & Punk,2.9699999999999998,14.91
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775.4000000000005,Os Paralamas Do Sucesso,Acústico MTV,Latin,2.9699999999999998,13.86
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Gene Krupa,Up An' Atom,Jazz,2.9699999999999998,13.86
Fernanda,Ramos,Brazil,Brasília,DF,Margaret,Park,775.4000000000005,Lulu Santos,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Latin,2.9699999999999998,13.86
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720.1600000000011,Frank Sinatra,My Way: The Best Of Frank Sinatra [Disc 1],Easy Listening,2.9699999999999998,13.86
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720.1600000000011,The Who,My Generation - The Very Best Of The Who,Rock,2.9699999999999998,13.86
Luis,Rojas,Chile,Santiago,State is Unknown,Steve,Johnson,720.1600000000011,Frank Sinatra,My Way: The Best Of Frank Sinatra [Disc 1],Easy Listening,2.9699999999999998,13.86
